Business Particle Index,Revenue Model Index,Anniversary,Node Access,Deployment Type,Operator Conduct System,Record Count
stacystaples.com,Sponsored,"Sep 5, 2020",On,Active,L1 Class,1
STAPLESIUM.COM,Supplemented,"Jun 10, 2010",Off,Active,L2 Class,1
ambiencesuites.com,Sponsored,"May 1, 2021",On,Assembly,L3 Class,1
bankoffintech.com,Supplemented,"Jan 6, 2021",Off,Assembly,L6 Class,1
BEAMOLOGY.COM,Sponsored,"Apr 15, 2013",On,Assembly,L7 Class,1
birthgeneration.com,Supplemented,"Nov 5, 2021",Off,Assembly,L1 Class,1
intrasession.com,Sponsored,"Apr 17, 2023",Off,Assembly,L6 Class,1
linealfoundation.com,Supplemented,"Jun 3, 2023",Off,Assembly,L3 Class,1
postulateassembly.com,Sponsored,"Mar 2, 2023",Off,Assembly,L7 Class,1
seminarinvestments.com,Supplemented,"Nov 3, 2020",Off,Assembly,L4 Class,1
snippetuniversity.com,Sponsored,"May 7, 2021",Off,Assembly,L3 Class,1
tithesinvestments.com,Supplemented,"Apr 5, 2023",Off,Assembly,L3 Class,1
automaticbanknote.com,Sponsored,"Jun 5, 2022",Off,Executions,L7 Class,1
BEAMPLAN.COM,Supplemented,"May 2, 2013",Off,Executions,L4 Class,1
breakpeace.org,Sponsored,"May 2, 2017",Off,Executions,L2 Class,1
electronicbanknote.com,Supplemented,"May 4, 2022",Off,Executions,L7 Class,1
infinityyeild.com,Sponsored,"Feb 13, 2023",Off,Executions,L6 Class,1
orderfiche.com,Supplemented,"Sep 25, 2020",Off,Executions,L5 Class,1
threeminutecontract.com,Sponsored,"Jun 5, 2022",Off,Executions,L1 Class,1
bandwidthanonymous.com,Supplemented,"Oct 22, 2021",Off,Licenses,L1 Class,1
bandwidthshare.com,Sponsored,"Oct 22, 2021",Off,Licenses,L1 Class,1
bandwidthunderground.com,Supplemented,"Oct 22, 2021",Off,Licenses,L1 Class,1
conductsystems.com,Sponsored,"Oct 21, 2021",Off,Licenses,L7 Class,1
endmember.com,Supplemented,"Aug 2, 2023",Off,Licenses,L7 Class,1
patentfiche.com,Sponsored,"Sep 30, 2022",Off,Licenses,L5 Class,1
personalbusinessmachines.com,Supplemented,"Oct 18, 2021",Off,Licenses,L3 Class,1
preparationpatents.com,Sponsored,"Oct 18, 2021",Off,Licenses,L5 Class,1
preparationsciences.com,Supplemented,"Sep 15, 2021",Off,Licenses,L5 Class,1
renderbusinessmachines.com,Sponsored,"Jun 5, 2022",Off,Licenses,L1 Class,1
revenuedrop.com,Supplemented,"Sep 13, 2020",On,Licenses,L2 Class,1
SEMICOMS.COM,Sponsored,"Dec 12, 2009",Off,Licenses,L2 Class,1
signalstudy.com,Supplemented,"Apr 5, 2023",Off,Licenses,L2 Class,1
smallcappractice.com,Sponsored,"Jun 5, 2021",Off,Licenses,L1 Class,1
acceleratorsciences.com,Supplemented,"Sep 4, 2020",Off,Packages,L4 Class,1
agaseous.com,Sponsored,"Nov 3, 2016",On,Packages,L1 Class,1
algebratrade.com,Supplemented,"Jan 30, 2021",Off,Packages,L4 Class,1
amyclientele.com,Sponsored,"Apr 5, 2023",Off,Packages,L4 Class,1
boursesport.com,Supplemented,"Oct 21, 2021",Off,Packages,L3 Class,1
dealroomstudio.com,Sponsored,"Feb 6, 2021",Off,Packages,L3 Class,1
demonstock.com,Supplemented,"May 3, 2020",Off,Packages,L1 Class,1
developertraderoom.com,Sponsored,"Sep 4, 2020",Off,Packages,L3 Class,1
executiveschematic.com,Supplemented,"May 8, 2023",Off,Packages,L7 Class,1
liabilityshare.com,Sponsored,"Nov 4, 2020",Off,Packages,L2 Class,1
nightlyceo.com,Supplemented,"Oct 9, 2020",Off,Packages,L4 Class,1
notchtrade.com,Sponsored,"Oct 11, 2020",Off,Packages,L4 Class,1
onboardfintech.com,Supplemented,"Oct 11, 2020",Off,Packages,L2 Class,1
PAGNEMAGNE.COM,Sponsored,"Mar 1, 2014",Off,Packages,L6 Class,1
premisephere.com,Supplemented,"Jun 5, 2022",Off,Packages,L4 Class,1
puttron.com,Sponsored,"Aug 3, 2020",Off,Packages,L3 Class,1
snippetsanddevs.com,Supplemented,"Nov 28, 2019",Off,Packages,L2 Class,1
STAPLESWARE.COM,Sponsored,"Sep 21, 2009",Off,Packages,L3 Class,1
starefintech.com,Supplemented,"Nov 4, 2021",Off,Packages,L3 Class,1
afterscheme.com,Sponsored,"Sep 3, 2023",Off,Stores,L1 Class,1
awardbaton.com,Supplemented,"Jun 5, 2022",Off,Stores,L4 Class,1
billchip.com,Sponsored,"Sep 30, 2022",Off,Stores,L7 Class,1
cloudburstingstock.com,Supplemented,"Oct 21, 2015",Off,Stores,L3 Class,1
dateabank.com,Sponsored,"Jun 5, 2022",Off,Stores,L2 Class,1
HABATCHII.COM,Supplemented,"Mar 1, 2009",Off,Stores,L1 Class,1
occultdent.com,Sponsored,"Oct 21, 2021",Off,Stores,L6 Class,1
spacebusinessmachines.com,Supplemented,"Mar 2, 2023",Off,Stores,L5 Class,1
storebusinessmachines.com,Sponsored,"Feb 3, 2022",Off,Stores,L5 Class,1
billfoldinternational.com,Supplemented,"Apr 5, 2023",Off,System,L7 Class,1
americanspaceinvestments.com,Sponsored,"Feb 13, 2023",Off,System,L4 Class,1
billfoldtechnologies.com,Supplemented,"Nov 29, 2021",Off,System,L6 Class,1
daytradeexchange.com,Sponsored,"Nov 22, 2020",On,System,L7 Class,1
dossierhouse.com,Supplemented,"Aug 25, 2021",Off,System,L7 Class,1
ENCORPORAE-ENCORPORATII.COM,Sponsored,"May 6, 2015",Off,System,L6 Class,1
eusedat.com,Supplemented,"Nov 20, 2021",On,System,L5 Class,1
longora.com,Sponsored,"Aug 3, 2020",Off,System,L3 Class,1
networktreasury.com,Supplemented,"Apr 5, 2023",Off,System,L7 Class,1
numbermaiden.com,Sponsored,"Sep 30, 2022",Off,System,L7 Class,1
rowsandticker.com,Supplemented,"Jul 1, 2020",On,System,L6 Class,1
SADEIC.ORG,Sponsored,"Aug 29, 2010",Off,System,L3 Class,1
spacebred.com,Supplemented,"Feb 3, 2023",Off,System,L5 Class,1
SUPERWIKIA.COM,Sponsored,"Feb 2, 2013",Off,System,L3 Class,1
trophychip.com,Supplemented,"Dec 24, 2015",Off,System,L5 Class,1
occucode.com,Sponsored,"Jun 5, 2022",Off,System,L3 Class,1
billetscript.com,Supplemented,"Mar 2, 2023",Off,Tags,L2 Class,1
businessparticles.com,Sponsored,"Feb 13, 2021",Off,Tags,L3 Class,1
dataserials.com,Supplemented,"Sep 3, 2023",Off,Tags,L1 Class,1
daytradecereal.com,Sponsored,"Nov 4, 2021",Off,Tags,L1 Class,1
daytradescript.com,Supplemented,"Jul 30, 2022",Off,Tags,L2 Class,1
lightscheme.com,Sponsored,"Apr 17, 2023",Off,Tags,L2 Class,1
lumeint.com,Supplemented,"Oct 13, 2021",On,Tags,L1 Class,1
PENTELEBETS.COM,Sponsored,"Apr 29, 2010",Off,Tags,L1 Class,1
PHOELIOS.COM,Supplemented,"Sep 5, 2010",Off,Tags,L3 Class,1
schematicasset.com,Sponsored,"Mar 2, 2023",Off,Tags,L2 Class,1
schemescript.com,Supplemented,"Apr 5, 2023",Off,Tags,L2 Class,1
STACYBR.COM,Sponsored,"Dec 21, 2009",Off,Tags,L2 Class,1
tickerbatch.com,Supplemented,"Sep 3, 2023",Off,Tags,L5 Class,1
tithesmicro.com,null,"Apr 5, 2023",Off,Tags,L2 Class,1